# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.3, 'makespec': True, 'units': 'nm', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 30 TDDFT singlet excitations
# Roots were Lorentzian broadened with width 0.3 eV 
# Spectrum generated with 2000 points.
#
# Wavelen. [nm]        Abs. [au]   
#----------------------------------
2.3449747654e+00    1.4450186339e-04
2.3448541425e+00    1.5409246847e-04
2.3447335320e+00    1.6465831855e-04
2.3446129338e+00    1.7633433490e-04
2.3444923481e+00    1.8927921681e-04
2.3443717748e+00    2.0368055640e-04
2.3442512139e+00    2.1976125485e-04
2.3441306654e+00    2.3778762222e-04
2.3440101293e+00    2.5807966853e-04
2.3438896056e+00    2.8102426634e-04
2.3437690943e+00    3.0709209904e-04
2.3436485954e+00    3.3685963149e-04
2.3435281089e+00    3.7103777967e-04
2.3434076347e+00    4.1050955713e-04
2.3432871730e+00    4.5637978653e-04
2.3431667236e+00    5.1004103455e-04
2.3430462866e+00    5.7326127932e-04
2.3429258620e+00    6.4830037241e-04
2.3428054497e+00    7.3806374974e-04
2.3426850499e+00    8.4630199474e-04
2.3425646624e+00    9.7786095277e-04
2.3424442873e+00    1.1389723497e-03
2.3423239246e+00    1.3375337435e-03
2.3422035742e+00    1.5832257216e-03
2.3420832362e+00    1.8870888015e-03
2.3419629105e+00    2.2597335042e-03
2.3418425973e+00    2.7066357246e-03
2.3417222963e+00    3.2183920498e-03
2.3416020078e+00    3.7553618558e-03
2.3414817316e+00    4.2340955182e-03
2.3413614677e+00    4.5374013883e-03
2.3412412162e+00    4.5678040685e-03
2.3411209771e+00    4.3144868194e-03
2.3410007503e+00    3.8617280123e-03
2.3408805359e+00    3.3283875170e-03
2.3407603338e+00    2.8069392677e-03
2.3406401440e+00    2.3452523996e-03
2.3405199666e+00    1.9575397852e-03
2.3403998015e+00    1.6403796775e-03
2.3402796488e+00    1.3836975115e-03
2.3401595084e+00    1.1763278757e-03
2.3400393804e+00    1.0082484603e-03
2.3399192646e+00    8.7119593570e-04
2.3397991612e+00    7.5861799504e-04
2.3396790702e+00    6.6540936683e-04
2.3395589914e+00    5.8761709532e-04
2.3394389250e+00    5.2218049815e-04
2.3393188709e+00    4.6672137193e-04
2.3391988291e+00    4.1938154823e-04
2.3390787997e+00    3.7869952352e-04
2.3389587825e+00    3.4353777921e-04
2.3388387777e+00    3.1293204108e-04
2.3387187852e+00    2.8615962422e-04
2.3385988050e+00    2.6261911211e-04
2.3384788371e+00    2.4182013278e-04
2.3383588815e+00    2.2337012429e-04
2.3382389383e+00    2.0691674234e-04
2.3381190073e+00    1.9219346293e-04
2.3379990886e+00    1.7896921624e-04
2.3378791823e+00    1.6704974924e-04
